pregunta,emocion,intencion,nivel_emocional,recomendacion
necesito decir que puedes ayudarme con una duda,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
necesito decir que hoy tuve un buen dia en clases un poco,FELICIDAD,expresar_bienestar,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
esta semana siento nervios cada vez que entro a clases me gustaria hablar con alguien,ANSIEDAD,expresar_ansiedad,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
desde ayer hoy no quiero hablar con nadie,TRISTEZA,problema_personal,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
desde ayer no soporto que me traten mal y me cuesta concentrarme,ENOJO,conflicto_docente,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
necesito decir que me asusta que me molesten otra vez,MIEDO,temor_bullying,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
cuando estoy en clases me siento tranquilo y animado un poco,FELICIDAD,compartir_logro,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
la verdad me siento desanimado con mis clases y quiero estar mejor,DESMOTIVACION,buscar_motivacion,ALTO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
desde ayer ya no tengo motivacion para estudiar sin decirle a nadie,DESMOTIVACION,expresar_desmotivacion,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
en el colegio hasta luego cuando tengo que exponer y me cuesta concentrarme,NEUTRAL,agradecimiento,ESTABLE,Brindar información breve y preguntar si necesita algo más.
hoy estoy contento porque mejore mis notas porque me afecta bastante,FELICIDAD,agradecimiento,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
ultimamente ya no disfruto venir a clases cuando tengo tareas,TRISTEZA,buscar_apoyo,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
cuando llego a casa quiero gritar porque no me escuchan me preocupa mucho,ENOJO,conflicto_docente,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
en las mañanas hoy tuve un buen dia en clases demasiado,FELICIDAD,motivacion_positiva,LEVE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
a veces me siento tranquilo y animado,FELICIDAD,compartir_logro,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
siento nervios cada vez que entro a clases,ANSIEDAD,preocupacion_academica,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
esta semana necesito hacer una consulta durante clases y quiero estar mejor,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
cuando llego a casa ya no quiero seguir viviendo,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
hoy estoy feliz porque mis amigos me apoyaron me gustaria hablar con alguien,FELICIDAD,motivacion_positiva,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
hoy gracias por la ayuda,NEUTRAL,agradecimiento,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en la tarde me dio rabia lo que me dijeron y no quiero sentirme asi,ENOJO,conflicto_companeros,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
ultimamente me siento motivado para estudiar,FELICIDAD,agradecimiento,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
desde ayer buenos dias antes de dormir,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
a veces me siento triste bastante me preocupa mucho,TRISTEZA,problema_personal,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
cuando llego a casa no se como organizar mis tareas y quiero mejorar,ESTRES,organizacion_estudio,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en la tarde estoy enojado con mis compañeros necesito orientacion,ENOJO,expresar_enojo,ALTO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
necesito decir que estoy llorando y no se que hacer,TRISTEZA,expresar_tristeza,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
esta semana siento que todo seria mejor si no estuviera sin decirle a nadie y no quiero sentirme asi,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
hoy estoy muy preocupado por mis notas,ANSIEDAD,buscar_calma,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en las mañanas buenas tardes,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en el colegio estoy llorando y no se que hacer,TRISTEZA,buscar_apoyo,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
la verdad me duele sentirme asi,TRISTEZA,desahogo_emocional,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en la tarde me asusta que me molesten otra vez que puedo hacer,MIEDO,buscar_seguridad,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
la verdad siento que todo seria mejor si no estuviera mucho y no se que hacer,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
ultimamente estoy muy preocupado por mis notas en serio necesito apoyo,ANSIEDAD,expresar_ansiedad,LEVE,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en la tarde me siento solo en el colegio cada dia mas,TRISTEZA,expresar_tristeza,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en el colegio quiero desaparecer pero no se como explicarlo,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
desde hace dias me da miedo equivocarme al exponer sin decirle a nadie y no se que hacer,MIEDO,temor_familiar,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
esta semana me siento desanimado con mis clases antes de dormir pero no se como explicarlo,DESMOTIVACION,bajo_rendimiento,ALTO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde hace dias estoy feliz porque mis amigos me apoyaron y no se que hacer,FELICIDAD,compartir_logro,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
a veces tengo miedo de contar lo que pasa porque me afecta bastante,MIEDO,expresar_miedo,LEVE,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
hoy necesito ayuda urgente,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
desde ayer cada vez me cuesta mas levantarme para ir al colegio y no quiero sentirme asi,DESMOTIVACION,falta_interes,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
esta semana cada vez me cuesta mas levantarme para ir al colegio en silencio puedes ayudarme,DESMOTIVACION,buscar_motivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en las mañanas me siento apagado desde hace dias sin decirle a nadie en serio necesito apoyo,TRISTEZA,buscar_apoyo,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
por favor me siento apagado desde hace dias puedes ayudarme,TRISTEZA,expresar_tristeza,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
cuando estoy en clases me siento tranquilo y animado y no quiero sentirme asi,FELICIDAD,expresar_bienestar,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en las mañanas me siento desanimado con mis clases demasiado que puedo hacer,DESMOTIVACION,expresar_desmotivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
ultimamente siento que todo seria mejor si no estuviera,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
en la tarde hoy no quiero hablar con nadie que puedo hacer,TRISTEZA,desahogo_emocional,LEVE,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
por favor me alegra haber hablado con mi profesor,FELICIDAD,expresar_bienestar,LEVE,Responder con reconocimiento emocional y continuar acompañando.
necesito decir que cada vez me cuesta mas levantarme para ir al colegio y quiero mejorar,DESMOTIVACION,expresar_desmotivacion,LEVE,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en el colegio quiero mejorar pero no tengo fuerzas en silencio porque me afecta bastante,DESMOTIVACION,expresar_desmotivacion,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
hasta luego antes de dormir porque me afecta bastante,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
necesito decir que siento que voy a perder el control bastante,ENOJO,expresar_enojo,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
la verdad tengo rabia por lo que paso en clase cada dia mas me gustaria hablar con alguien,ENOJO,frustracion,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde ayer estoy feliz porque mis amigos me apoyaron en serio necesito apoyo,FELICIDAD,motivacion_positiva,LEVE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
la verdad siento que nadie me entiende,TRISTEZA,buscar_apoyo,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
necesito decir que no puedo dormir por pensar en el examen,ANSIEDAD,miedo_examen,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en las mañanas no quiero hacer mis tareas un poco pero no se como explicarlo,DESMOTIVACION,bajo_rendimiento,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde hace dias ya no puedo concentrarme por el estres,ESTRES,cansancio_escolar,LEVE,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
desde hace dias siento que no puedo controlar mi preocupacion con mi familia,ANSIEDAD,preocupacion_academica,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
la verdad hasta luego cuando tengo que exponer,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
necesito ayuda urgente,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
esta semana buenas tardes cuando tengo tareas,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
hoy quiero mejorar pero no tengo fuerzas en silencio necesito orientacion,DESMOTIVACION,bajo_rendimiento,ALTO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
necesito decir que me duele sentirme asi y me cuesta concentrarme,TRISTEZA,buscar_apoyo,ALTO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
cuando estoy en clases tengo miedo de ir al colegio y quiero mejorar,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
la verdad siento miedo cuando camino solo puedes ayudarme,MIEDO,temor_bullying,LEVE,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
cuando llego a casa quiero mejorar pero no tengo fuerzas mucho,DESMOTIVACION,bajo_rendimiento,ALTO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
desde ayer cada vez me cuesta mas levantarme para ir al colegio porque me afecta bastante,DESMOTIVACION,bajo_rendimiento,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
cuando llego a casa buenas tardes antes de dormir,NEUTRAL,duda_academica,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
la verdad estoy llorando y no se que hacer,TRISTEZA,desahogo_emocional,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en las mañanas ya no disfruto venir a clases puedes ayudarme,TRISTEZA,desahogo_emocional,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
desde ayer me pongo nervioso antes de los examenes porque me afecta bastante,ANSIEDAD,miedo_examen,LEVE,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en el colegio me da igual sacar malas notas,DESMOTIVACION,falta_interes,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
la verdad quiero mejorar pero no tengo fuerzas y no se que hacer,DESMOTIVACION,expresar_desmotivacion,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
hoy siento nervios cada vez que entro a clases mucho porque me afecta bastante,ANSIEDAD,expresar_ansiedad,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
desde hace dias no puedo dormir por pensar en el examen en silencio y no se que hacer,ANSIEDAD,preocupacion_academica,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
por favor tengo miedo de ir al colegio durante clases y quiero mejorar,MIEDO,temor_familiar,LEVE,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
no se como organizar mis tareas,ESTRES,cansancio_escolar,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
hoy hoy tuve un buen dia en clases cuando tengo tareas,FELICIDAD,compartir_logro,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
esta semana me da temor hablar con mi profesor,MIEDO,buscar_seguridad,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
en las mañanas no quiero salir al recreo porque tengo miedo,MIEDO,expresar_miedo,LEVE,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
cuando estoy en clases estoy llorando y no se que hacer que puedo hacer,TRISTEZA,problema_personal,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
cuando llego a casa quiero saber como revisar mis notas sin decirle a nadie necesito orientacion,NEUTRAL,consulta_general,ESTABLE,Responder con orientación general y continuar la conversación.
cuando llego a casa me molesta que se burlen de mi que puedo hacer,ENOJO,conflicto_companeros,ALTO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
en la tarde estoy orgulloso de mi avance porque me afecta bastante,FELICIDAD,expresar_bienestar,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
a veces siento que nadie me entiende en silencio por eso busco ayuda,TRISTEZA,buscar_apoyo,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
la verdad me siento apagado desde hace dias durante clases,TRISTEZA,expresar_tristeza,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
esta semana tengo una pregunta sobre el colegio,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
la verdad me siento solo en el colegio que puedo hacer,TRISTEZA,desahogo_emocional,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en el colegio me tiembla el cuerpo cuando debo exponer y no se que hacer,ANSIEDAD,expresar_ansiedad,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
donde puedo ver mi horario bastante me gustaria hablar con alguien,NEUTRAL,consulta_general,ESTABLE,Responder con orientación general y continuar la conversación.
la verdad perdi las ganas de esforzarme durante clases,DESMOTIVACION,expresar_desmotivacion,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
en las mañanas me tiembla el cuerpo cuando debo exponer con mi familia pero no se como explicarlo,ANSIEDAD,miedo_examen,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
desde ayer siento mucha frustracion en serio necesito apoyo,ENOJO,frustracion,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
la verdad me da temor hablar con mi profesor un poco porque me afecta bastante,MIEDO,buscar_seguridad,ALTO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
desde hace dias no me alcanza el tiempo para estudiar y quiero estar mejor,ESTRES,cansancio_escolar,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
en la tarde gracias por la ayuda en silencio,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
gracias por la ayuda y quiero mejorar,NEUTRAL,consulta_general,ESTABLE,Brindar información breve y preguntar si necesita algo más.
la verdad necesito ayuda urgente y me cuesta concentrarme,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
a veces gracias por la ayuda cuando tengo que exponer y no quiero sentirme asi,NEUTRAL,saludo,ESTABLE,Responder con orientación general y continuar la conversación.
en el colegio necesito hacer una consulta cada dia mas y no quiero sentirme asi,NEUTRAL,despedida,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
ultimamente siento mucha pena por lo que paso me preocupa mucho,TRISTEZA,problema_personal,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
esta semana no quiero hacer mis tareas puedes ayudarme,DESMOTIVACION,buscar_motivacion,LEVE,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en el colegio me angustia no terminar mis trabajos necesito orientacion,ANSIEDAD,miedo_examen,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
ultimamente buenas tardes en serio necesito apoyo,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
en las mañanas me molesta que me culpen de todo que puedo hacer,ENOJO,conflicto_docente,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
tengo una pregunta sobre el colegio,NEUTRAL,consulta_general,ESTABLE,Brindar información breve y preguntar si necesita algo más.
en las mañanas me siento ansioso me preocupa mucho,ANSIEDAD,preocupacion_academica,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
esta semana quiero saber como revisar mis notas,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
hoy estoy llorando y no se que hacer antes de dormir necesito orientacion,TRISTEZA,problema_personal,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
desde hace dias tengo demasiados trabajos acumulados en silencio,ESTRES,sobrecarga_academica,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
desde ayer quiero saber como revisar mis notas mucho,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
por favor he pensado en hacerme daño un poco,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
cuando estoy en clases siento mucha pena por lo que paso,TRISTEZA,expresar_tristeza,MODERADO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
tengo miedo de contar lo que pasa puedes ayudarme,MIEDO,buscar_seguridad,ALTO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
por favor buenos dias con mi familia necesito orientacion,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
a veces me siento tranquilo y animado mucho,FELICIDAD,expresar_bienestar,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
en el colegio me fue bien en el examen puedes ayudarme,FELICIDAD,motivacion_positiva,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
esta semana no me alcanza el tiempo para estudiar que puedo hacer,ESTRES,cansancio_escolar,ALTO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
desde ayer hola cuando tengo que exponer,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
cuando llego a casa no me alcanza el tiempo para estudiar bastante y no quiero sentirme asi,ESTRES,organizacion_estudio,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
esta semana perdi las ganas de esforzarme bastante,DESMOTIVACION,falta_interes,ALTO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
desde ayer me pongo nervioso antes de los examenes en silencio puedes ayudarme,ANSIEDAD,miedo_examen,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
en el colegio gracias por la ayuda cuando tengo tareas,NEUTRAL,saludo,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en el colegio gracias por la ayuda cuando tengo que exponer y quiero mejorar,NEUTRAL,agradecimiento,ESTABLE,Brindar información breve y preguntar si necesita algo más.
ultimamente ya no disfruto venir a clases con mis compañeros,TRISTEZA,expresar_tristeza,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
desde hace dias estoy estresado por tantas tareas con mi familia necesito orientacion,ESTRES,organizacion_estudio,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
la verdad logre entregar mi tarea a tiempo,FELICIDAD,expresar_bienestar,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
a veces ya no disfruto venir a clases puedes ayudarme,TRISTEZA,buscar_apoyo,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
por favor me siento en peligro conmigo mismo y quiero mejorar,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
en el colegio tengo rabia por lo que paso en clase demasiado,ENOJO,frustracion,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
desde hace dias siento nervios cada vez que entro a clases demasiado y no se que hacer,ANSIEDAD,miedo_examen,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
desde hace dias tengo muchas obligaciones y estoy cansado bastante por eso busco ayuda,ESTRES,sobrecarga_academica,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
ultimamente tengo rabia por lo que paso en clase con mis compañeros necesito orientacion,ENOJO,expresar_enojo,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
a veces me dio rabia lo que me dijeron en silencio me preocupa mucho,ENOJO,frustracion,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde hace dias no soporto que me traten mal un poco por eso busco ayuda,ENOJO,conflicto_docente,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
ultimamente me molesta que me culpen de todo,ENOJO,expresar_enojo,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
en las mañanas cada vez me cuesta mas levantarme para ir al colegio en silencio,DESMOTIVACION,bajo_rendimiento,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
por favor me siento saturado con el colegio cuando tengo tareas y quiero mejorar,ESTRES,organizacion_estudio,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
a veces ya no quiero seguir viviendo pero no se como explicarlo,RIESGO_EMOCIONAL,riesgo_autolesion,ALTO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
desde hace dias buenos dias en serio necesito apoyo,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
ultimamente me asusta que me molesten otra vez,MIEDO,temor_familiar,ALTO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
cuando llego a casa necesito hacer una consulta por eso busco ayuda,NEUTRAL,despedida,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
desde ayer me molesta que se burlen de mi demasiado por eso busco ayuda,ENOJO,frustracion,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
